what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483218961343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483218961364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483218962876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483218964787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483218964809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483218971562
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483218973136
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483218973136
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483218974996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483218997051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483218997074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483218997234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483218998187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219001250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483219001273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219002892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219007921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483219007941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219008705
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1483219010346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483219018020
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483219019515
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1483219021971
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483219022084
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483219022116
error,log,,,"Core exception while retrieving the content description",1483219022592
error,log,,,"Core exception while retrieving the content description",1483219022599
error,log,,,"Core exception while retrieving the content description",1483219022606
error,log,,,"Core exception while retrieving the content description",1483219022612
error,log,,,"Core exception while retrieving the content description",1483219022618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483219025684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219026859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219039125
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483219040916
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483219040916
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483219053281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219055042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483219055064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483219055214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219056249
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1483219057593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219058160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483219058182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219062930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219067120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483219067144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219068311
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1483219071379
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1483219071655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1483219072094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483219077877
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1483219082741
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1483219082970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1483219084919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219085663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483219092344
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483219093561
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1483219096060
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483219096185
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483219096213
error,log,,,"Core exception while retrieving the content description",1483219096680
error,log,,,"Core exception while retrieving the content description",1483219096686
