what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483217357395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483217357511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217358433
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483217363106
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483217363106
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483217364273
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483217364273
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1483217366231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217371450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217378315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217382276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217410816
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483217412421
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1483217416195
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483217416287
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483217416315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483217421738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217422647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217443043
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1483217445005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217447792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217460446
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483217462146
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483217462180
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1483217462180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217463266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217468609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217469739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483217470225
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1483217471590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1483217475818
