what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220556434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220559488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220566642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483220584738
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483220586118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220587187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220587209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483220587375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220588864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220590243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220590263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483220590419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220592803
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483220594179
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483220596007
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1483220598960
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1483220599254
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1483220599558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1483220600140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1483220601279
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1483220601627
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1483220601933
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1483220602211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483220603501
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483220605052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220606018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220606039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483220606167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220607069
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1483220608458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1483220612653
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483220614168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220615115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220615137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483220615302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220616104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220618536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220619385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220619657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220629659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220630870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220630891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220633103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220642887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220649033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220659562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220709733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220710775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220710794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483220710959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220713196
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1483220714672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220715154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220715176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1483220715299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220716943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1483220721541
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1483220731494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220748765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220748785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220754647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1483220756750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1483220756774
